n,MergeSort(ms),QuickSort(ms),Randomized QuickSort(ms),InsertionSort(ms),STL(ms),QuickSort With Sorted Input(ms),Randomized QuickSort With Sorted Input(ms)
5,0.00285,0.00045,0.0031,0.00025,0.0005,0.0005,0.004
10,0.00675,0.0006,0.00565,0.0004,0.00085,0.00135,0.0092
100,0.08985,0.00895,0.0617,0.02015,0.01365,0.07415,0.15095
1000,0.9706,0.1575,0.649,1.6787,0.1741,6.7272,7.52445
10000,11.1541,2.20315,7.10345,169.494,2.2693,664.257,670.504
100000,129.824,27.433,80.0351,18417.8,30.399,70455.3,70512.5
